tcp.analysis.ack_rtt,ip.dsfield.ecn,throughput
8.87e-05,1,10144363.16
0.000115225,0,193803.4928
7.18e-05,1,200034.0642
0.000156074,0,6255911.051
6.6e-05,1,127895.1181
4.74e-05,1,1552340.27
5.62e-05,1,120460.519
0.000143199,0,6067376.745
5.49e-05,1,409328.3854
6.43e-05,1,1268660.056
7.77e-05,1,178165.1257
0.000260537,1,3412315.119
4.31e-05,0,1663856.132
2.07e-05,0,97186.66398
2.65e-05,1,622412.7696
3.81e-05,1,327524.1767
4e-05,1,559240.5333
7.07e-06,0,163101.5254
0.000101529,1,6592558.428
0.000144386,0,12303291.73
3.25e-05,1,94944.70348
0.00012055,1,7092806.764
3.03e-05,1,1027579.779
7.95e-05,1,109945.2088
0.000200842,0,4359434.079
0.000112416,0,1673917.243
4.67e-05,1,197961.2507
0.000208573,1,3848890.729
6.64e-05,1,550072.6557
0.000254871,1,3304603.152
4.62e-05,0,458507.7665
1.98e-05,0,123761.7364
0.000209069,1,3296279.214
2.14e-05,1,377505.5093
4.98e-05,1,595640.8047
2.05e-05,1,1264369.901
0.000191824,0,140448.5358
5.13e-05,1,250430.169
0.000171109,1,5213636.845
2.26e-05,1,244442.4859
2.05e-05,1,532935.3891
1.35e-05,0,1066759.399
1.68e-05,0,112535.8256
0.000184194,1,3722966.851
2.05e-05,1,1181067.552
2.04e-05,1,172232.5412
0.000154891,1,4632293.267
0.000230668,0,6964127.396
1.51e-05,0,232527.5632
2.17e-05,1,133383.2278
0.000131408,1,5689664.557
0.000218875,1,7131459.662
2.34e-05,1,493354.5139
1.46e-05,0,623828.8766
0.000171509,0,227932.5352
2.17e-05,1,170415.7896
0.000161604,1,4458680.913
2.14e-05,1,524918.9122
2.13e-05,1,1438047.086
0.000176821,0,121493.9934
0.000169531,0,536220.9472
2.2e-05,1,1208331.346
2.55e-05,1,138076.7975
0.000138129,1,5533288.998
0.000220755,1,7586219.409
1.39e-05,0,1428769.363
1.02e-05,0,161719.9147
5.22e-05,1,150606.8418
0.000163386,1,5616407.073
2.01e-05,1,1420871.713
2.02e-05,1,1282963.576
1.51e-05,0,113139.4969
5.95e-05,1,145467.1908
0.000166525,0,4943286.857
